latitude,longitude,band1,band2,band3,band4,band5,band6,band7,value
-8789850.0,184950.0,3296.9030528052804,4486.123349834984,3395.320132013201,3448.00701320132,4321.515264026402,3236.0247524752476,2072.2050330033003,203.4
-8784900.0,174600.0,2723.5448793989717,3882.381573744563,2847.1237643337286,2902.1672597864767,3775.932779754844,2743.972716488731,1732.7327006722026,198.3
-8775000.0,169650.0,3254.54837398374,4358.613821138211,3360.056504065041,3400.0735772357725,4235.783333333334,3224.0447154471544,2056.6963414634147,199.1
-8775000.0,174600.0,3180.592105263158,4523.5875822368425,3305.417351973684,3344.5822368421054,4318.231907894737,3244.0209703947367,2032.5674342105262,196.3
-8775000.0,184950.0,3307.8445807770963,4718.300204498977,3427.5766871165642,3472.932106339468,4445.4629856850715,3319.962372188139,2059.5083844580777,196.9
-8775000.0,194850.0,3573.05441302485,4725.366323907455,3695.0629820051413,3722.375321336761,4522.872750642674,3378.349614395887,2121.4845758354754,201.7
-8769600.0,164700.0,3202.4373741441805,4929.236004832864,3315.4293193717276,3388.773258155457,4678.437776882803,3448.637937978252,2113.372935964559,199.4
-8769600.0,174600.0,3344.9670731707315,4780.94593495935,3458.198780487805,3506.508943089431,4531.1638211382115,3394.8475609756097,2116.082113821138,196.3
-8769600.0,184950.0,3423.1569910057237,4989.462387571545,3543.5997547015536,3593.5233033524123,4771.286181520851,3525.8315617334424,2174.653311529027,196.4
-8769600.0,189900.0,3521.190054782975,4768.203539823009,3633.5575221238937,3670.511588706279,4594.8175305520435,3451.7753898019387,2167.709650231774,196.7
-8769600.0,194850.0,3573.0333479596316,4614.767880649408,3701.282580078982,3729.9986836331723,4386.180781044318,3316.9833260201844,2111.7485739359367,198.5
-8764650.0,154800.0,3429.403984063745,4769.225896414343,3547.106374501992,3585.9171314741034,4651.950597609562,3510.8780876494025,2199.2147410358566,198.2
-8764650.0,164700.0,3360.2330766112686,4959.459262261857,3482.6291041751115,3536.6817997567896,4746.6380218889335,3503.5269558167815,2157.312119983786,198.3
-8764650.0,169650.0,3370.0591836734693,4689.343265306123,3479.3579591836733,3526.957551020408,4444.33306122449,3358.8779591836733,2089.5555102040817,197.7
-8764650.0,174600.0,3348.401705930138,4891.012185215272,3472.7522339561333,3518.756295694557,4646.470349309505,3459.2705117790415,2133.0938261575952,196.5
-8764650.0,184950.0,3372.7404710920773,4996.530192719486,3497.501070663812,3551.885653104925,4736.221413276231,3518.2154175588867,2154.956316916488,195.8
-8764650.0,189900.0,3481.077223427332,4900.821258134491,3605.984381778742,3649.4308026030367,4676.389154013015,3478.1422993492406,2143.8572668112797,195.0
-8764650.0,194850.0,3480.976653696498,4194.5002161694765,3615.6999567661046,3623.5408560311284,4037.739299610895,3099.4409857328146,1998.7133592736704,197.0
-8759700.0,154800.0,3400.225614591594,4922.408802537669,3533.5931800158605,3570.983346550357,4771.240285487708,3533.312053925456,2180.733148295004,197.6
-8759700.0,159750.0,3414.071716357776,5073.795326349718,3540.9605157131346,3591.098307816277,4800.177679290894,3578.0153102336826,2191.771152296535,197.9
-8759700.0,164700.0,3349.979476861167,4802.866800804829,3464.8478873239437,3516.9142857142856,4545.03661971831,3452.2957746478874,2147.457142857143,198.1
-8759700.0,169650.0,3322.7014681892333,5010.517128874389,3458.238580750408,3500.743882544861,4748.48409461664,3512.5293637846657,2148.436378466558,197.3
-8759700.0,174600.0,3384.0169421487603,4990.563636363637,3518.9086776859504,3558.7731404958677,4742.717768595041,3517.295041322314,2150.593388429752,196.7
-8759700.0,184950.0,3474.319648093842,4966.573523250942,3599.3896103896104,3649.534143276079,4758.985337243402,3540.6124842899035,2176.440720569753,195.4
-8759700.0,189900.0,3446.052653572921,4726.94651065608,3578.3117425825326,3612.5470121186795,4498.447973255328,3349.5411617216882,2079.2478061011284,194.7
-8759700.0,234900.0,2919.6984262016163,3351.7273500638025,3043.6673755848574,3042.8226286686518,3248.027647809443,2528.5831561037858,1680.9170565716715,197.7
-8759700.0,244800.0,3126.0391725352115,4030.3265845070423,3262.551056338028,3274.0708626760565,3799.955985915493,2827.3582746478874,1818.5479753521126,197.8
-8754750.0,154800.0,3386.1922922521076,4835.760738659173,3519.2135688478525,3553.2488960256924,4655.926134082698,3485.966680048173,2137.247691690084,197.3
-8754750.0,159750.0,3346.431744749596,5017.919224555735,3475.0379644588047,3526.7891760904686,4820.405088852989,3562.6437802907917,2179.6680129240713,197.7
-8754750.0,164700.0,3368.663706096084,4937.827210335083,3503.083568833266,3546.713362939039,4730.85668146952,3513.7819943480017,2153.897052886556,197.6
-8754750.0,169650.0,3356.4206151288445,4900.404405652535,3493.6708229426436,3528.458437240233,4683.662094763093,3492.4763092269327,2141.1695760598504,196.4
-8754750.0,174600.0,3395.217248459959,5059.947022587269,3527.2287474332647,3570.6562628336756,4803.565092402464,3566.128542094456,2179.266119096509,196.6
-8754750.0,184950.0,3361.8082247557004,4841.681596091205,3501.0842833876222,3536.9360749185666,4662.177117263844,3460.8542345276874,2127.5907980456027,195.4
-8754750.0,189900.0,3433.6186371100166,4662.875205254516,3577.0775862068967,3593.4540229885056,4473.821428571428,3317.8321018062397,2057.6432676518884,194.6
-8754750.0,194850.0,3464.29304495335,4370.266327396098,3597.312128922816,3620.932145886344,4206.748939779474,3169.590754877014,2014.6598812553011,196.7
-8754750.0,225000.0,3113.7571305099395,4143.034572169404,3240.146499567848,3271.9131374243734,3979.1184096802076,2928.35738980121,1867.0700086430425,197.5
-8754750.0,249750.0,3393.3744818056193,4350.159834177798,3536.3357899585444,3542.152003684938,4131.649009672962,3047.8498387839704,1917.5637954859512,196.6
-8744850.0,139950.0,3329.719467956469,4566.037887948408,3483.3817009270456,3487.0544135429263,4429.501410721483,3345.005239822652,2060.7106005642886,195.0
-8744850.0,159750.0,3380.608870967742,4867.0875,3519.4177419354837,3556.0201612903224,4686.058870967742,3500.618548387097,2132.8387096774195,196.7
-8744850.0,164700.0,3440.2271813429834,4803.022919179734,3578.8387615601127,3605.6590269400886,4665.734217933253,3483.8958584640127,2139.2681946119824,197.3
-8744850.0,169650.0,3464.9713261648744,4698.365193150139,3613.877339705297,3620.3616089207485,4554.1119076065315,3453.6622859418558,2148.4751095181205,196.7
-8744850.0,174600.0,3354.6160678239808,4603.182478805006,3509.9479208720227,3512.146144529673,4486.391199031086,3364.997577714978,2093.622123536536,196.3
-8744850.0,184950.0,3390.1170170567234,4740.613645378818,3537.822689408965,3551.937326457755,4574.234034113447,3400.252677508925,2088.063466878223,195.7
-8744850.0,189900.0,3409.0076674737693,4710.673123486683,3548.901533494754,3567.532687651332,4518.45601291364,3345.1634382566585,2071.557304277643,195.0
-8744850.0,199800.0,2919.64905362776,3901.541403785489,3059.6526025236594,3063.5220820189274,3648.1940063091483,2719.4392744479496,1743.1175078864353,203.5
-8744850.0,219600.0,3159.574282147316,4409.253017062006,3295.714523512276,3316.5035372451102,4275.8410320432795,3100.656263004578,1911.9554723262588,196.9
-8744850.0,225000.0,3298.505722763883,4584.630351844002,3435.070368800339,3458.459940652819,4419.496396778296,3220.8037303942347,1977.3136922424756,194.9
-8744850.0,229950.0,3414.9786266484766,4721.233742610278,3553.0140973169623,3577.154160982265,4475.549795361528,3234.850386539336,1974.5452478399272,194.0
-8744850.0,234900.0,3482.8987167736022,4738.734188817599,3636.9789184234646,3638.929880843263,4532.565077910174,3281.664986251146,2013.2025664527955,193.2
-8744850.0,249750.0,3571.6876155268023,4843.251386321626,3723.535582255083,3731.9251386321625,4620.323012939002,3314.7333641404807,2017.8387245841036,194.2
-8744850.0,254700.0,3514.776388888889,4827.836574074074,3662.3194444444443,3681.4861111111113,4552.511574074074,3233.0439814814813,1956.186574074074,196.0
-8744850.0,259650.0,3469.510328638498,4706.709389671361,3618.198591549296,3625.1938967136152,4454.698591549296,3197.293896713615,1939.0107981220658,198.2
-8739900.0,135000.0,3369.2920751633987,4465.562091503268,3531.734885620915,3516.794117647059,4333.626225490196,3297.138480392157,2042.3080065359477,194.3
-8739900.0,139950.0,3304.802459341531,4464.42641808806,3459.251884172947,3452.579531931773,4366.468861562872,3288.0539468464895,2044.337961126537,195.2
-8739900.0,144900.0,3264.5242063492065,4588.507936507936,3417.0138888888887,3423.6900793650793,4455.4551587301585,3349.859523809524,2055.4666666666667,195.5
-8739900.0,154800.0,3390.9287144573486,4894.028434120945,3512.9203043652383,3564.415698838606,4701.462555066079,3514.851822186624,2129.6559871846216,196.3
-8739900.0,169650.0,3400.517940717629,4620.2168486739465,3553.198907956318,3558.2940717628703,4469.939937597504,3376.8311232449296,2091.288221528861,196.8
-8739900.0,184950.0,3365.2696584590944,4640.547259729944,3514.121525019857,3523.4189833200953,4486.4118347895155,3327.979348689436,2050.441620333598,195.7
-8739900.0,189900.0,3372.4216388225936,4821.137629276054,3513.9781225139222,3542.8810660302306,4643.881066030231,3394.324980111376,2061.4252187748607,195.7
-8739900.0,199800.0,3312.403884264764,4624.466508125248,3445.5097106619105,3469.7201743955607,4422.716607213634,3260.2766547760602,2036.5913594926674,202.7
-8739900.0,214650.0,3312.058394160584,4445.126926196269,3439.690186536902,3461.2262773722628,4314.383211678832,3193.6893755068936,1983.3698296836983,199.0
-8739900.0,219600.0,3409.7042310821807,4603.243287225387,3548.7436940602115,3563.56753458096,4462.642392188772,3264.3393002441007,2006.292921074044,196.2
-8739900.0,234900.0,3536.52258635961,4793.502657218778,3673.678476527901,3699.6997342781224,4550.1191319752,3315.5655447298495,2020.696191319752,193.1
-8739900.0,249750.0,3492.5265065700046,4773.341640235614,3650.064793837789,3655.0521069324877,4545.706388763027,3278.08926144087,1988.1590394200273,192.9
-8739900.0,254700.0,3515.3801431127013,4914.220483005367,3669.7665474060823,3689.478533094812,4624.466457960644,3308.909212880143,1986.3009838998212,194.0
-8739900.0,259650.0,3453.941420664207,4752.6065498154985,3607.3662361623615,3615.559963099631,4570.240313653137,3237.3976014760146,1951.5027675276754,195.1
-8739900.0,264600.0,3650.0244127130354,4594.41225241824,3788.092584062644,3792.053431598342,4419.274988484569,3214.9028097650853,1977.8383233532934,197.9
-8734950.0,154800.0,3328.230081300813,4628.691869918699,3474.210162601626,3494.2857723577235,4478.782926829268,3374.8158536585365,2057.4150406504064,195.9
-8734950.0,174600.0,3292.4167659912596,4590.594358363131,3453.6563369090186,3452.6332936034964,4469.853794199444,3345.0401271354785,2077.0599920540326,196.8
-8734950.0,189900.0,3337.253504672897,4729.782320872274,3483.9778037383176,3507.668613707165,4554.655373831775,3340.673676012461,2034.2920560747664,196.7
-8734950.0,194850.0,3341.2197238658778,4752.9802761341225,3478.9731755424064,3510.333727810651,4553.446942800789,3336.905325443787,2034.006311637081,197.7
-8734950.0,199800.0,3338.837519623234,4711.299058084773,3474.6299058084774,3505.13147566719,4485.140502354788,3327.273547880691,2047.6875981161695,199.8
-8734950.0,204750.0,3389.867215041128,4639.18527222875,3520.3909126517824,3540.726204465335,4519.638464551508,3333.698785742264,2069.9142185663923,199.1
-8734950.0,219600.0,3414.674769488684,4661.601005867561,3537.655490360436,3570.974434199497,4487.542330259849,3301.2300922045265,2025.0289186923721,196.8
-8734950.0,234900.0,3434.7916666666665,4764.541232638889,3571.4240451388887,3604.6180555555557,4535.45703125,3301.0538194444443,1995.1631944444443,194.2
-8734950.0,249750.0,3507.0565552699227,4887.325621251071,3670.992287917738,3675.1499571550985,4614.664095972579,3307.2262210796916,1983.3097686375322,193.7
-8734950.0,274950.0,3412.3938986092417,4320.536114849709,3533.8129205921937,3561.4154329295648,4110.895917451772,3028.757738896366,1894.1610587707492,198.2
-8734950.0,279900.0,3146.2532150776055,4005.10199556541,3270.878935698448,3303.9317073170732,3796.4425720620843,2796.469623059867,1775.4838137472284,201.7
-8730000.0,129600.0,3187.078618968386,4291.505823627288,3351.5653078202995,3339.085690515807,4208.094425956739,3150.1102329450914,1941.6759567387687,192.5
-8730000.0,144900.0,3137.2109133126937,4369.8452012383905,3310.8633900928794,3304.97213622291,4283.429179566563,3202.8757739938083,1962.9493034055727,194.3
-8730000.0,159750.0,3453.5384615384614,4714.385442514475,3608.9855252274606,3617.1588089330025,4569.996277915633,3453.2990074441686,2126.0843672456576,195.1
-8730000.0,184950.0,3290.8604743083006,4631.429644268775,3450.2110671936757,3452.603162055336,4487.450197628458,3301.2770750988143,2023.9731225296443,197.0
-8730000.0,194850.0,3340.822196170379,4659.057053536538,3488.4474404064085,3501.926143024619,4511.669792887847,3308.012504884721,2025.543962485346,197.9
-8730000.0,219600.0,3481.309601301871,4678.60374288039,3611.495117982099,3633.193653376729,4495.683482506102,3293.1497152156226,2022.1708706265256,196.2
-8730000.0,225000.0,3311.54739039666,4740.810438413361,3470.7912317327764,3482.4258872651358,4506.195407098121,3229.4041753653446,1949.489770354906,195.8
-8730000.0,249750.0,3487.068695652174,4794.3860869565215,3644.396956521739,3650.701739130435,4522.919130434782,3240.4865217391302,1942.4091304347826,194.2
-8730000.0,254700.0,3458.49281487743,4785.839391377853,3618.5912933220625,3624.4370245139476,4557.096365173288,3247.270498732037,1955.0143702451394,194.2
-8730000.0,274950.0,3442.23191681736,4243.707504520796,3561.6975587703437,3593.3132911392404,4021.0791139240505,2971.2726039783,1859.7025316455697,195.9
-8724600.0,124650.0,3099.256484149856,4290.471799094277,3269.715932482503,3259.2955948950184,4231.804857966241,3086.4322766570604,1855.8139151914368,191.2
-8724600.0,129600.0,3409.184210526316,4533.532355478861,3555.904227782571,3560.49913718723,4431.561691113028,3290.7031924072476,2013.1289905090596,193.1
-8724600.0,144900.0,3158.70234664471,4340.170440510498,3321.5545491972007,3314.564429806505,4240.5924248662,3173.2124331000414,1935.9662412515438,193.3
-8724600.0,164700.0,3412.4983948635636,4553.325040128411,3570.7724719101125,3564.6938202247193,4422.472712680578,3344.0196629213483,2076.8025682182983,196.3
-8724600.0,194850.0,3333.5839501363457,4578.894818854694,3491.32723022984,3488.716400467472,4440.420335021426,3260.377093883911,1999.0350603817685,198.1
-8724600.0,214650.0,3300.3184559710494,4486.962605548854,3451.749899477282,3461.4825090470445,4360.609971853639,3209.326899879373,1976.6453558504222,197.2
-8724600.0,229950.0,3381.6348039215686,4795.593137254902,3535.2434640522874,3546.9125816993464,4583.785539215686,3281.3513071895427,1966.487336601307,194.0
