PC;VMY.PM;SLI;SLP;P.Max;VO_N;G.Max
1.3088000;1.3283000;1.9038237;2.5000000;-1.0000000;0.0091929;21.2000000
1.3009000;1.3088000;1.8632910;2.5000000;-0.8000000;0.0045465;10.8000000
1.2924000;1.2964000;2.4102966;2.7000000;-1.8000000;0.0026430;5.0000000
1.2948000;1.2975000;2.5693012;2.7000000;-1.5000000;0.0020467;3.8000000
1.2940000;1.2955000;2.4184803;2.7000000;-0.5000000;0.0024162;5.5000000
1.2988000;1.2998000;2.4102904;2.7000000;-1.8000000;0.0027882;4.9000000
1.2961000;1.2983000;2.4767874;2.7000000;-0.3000000;0.0028076;6.8000000
1.2964000;1.2974000;2.9615211;3.0000000;-1.1000000;0.0008103;1.0000000
1.2954000;1.2957000;2.5936454;2.7000000;-0.2000000;0.0015439;3.4000000
1.3022000;1.3042000;1.9695021;2.5000000;-1.5000000;0.0040300;8.4000000
1.2965000;1.3026000;2.5243279;2.7000000;-0.5000000;0.0032181;7.5000000
1.2969000;1.3000000;2.6829408;2.8000000;-0.6000000;0.0015296;3.1000000
1.2908000;1.2972000;2.5754776;2.7000000;-1.2000000;0.0035181;7.6000000
1.2951000;1.2980000;2.5214893;2.7000000;-2.1000000;0.0032982;6.3000000
1.3014000;1.3037000;2.5044608;2.7000000;-2.2000000;0.0037296;7.1000000
1.2925000;1.2941000;2.7055745;2.8000000;-0.5000000;0.0011613;2.5000000
1.2974000;1.2990000;2.4290924;2.7000000;-0.9000000;0.0026141;5.6000000
1.3034000;1.3042000;2.5545621;2.7000000;-1.0000000;0.0021074;4.1000000
1.3009000;1.3034000;2.7108763;2.8000000;-0.7000000;0.0014172;2.9000000
1.2964000;1.3006000;2.5088363;2.7000000;-0.4000000;0.0026097;6.3000000
1.3024000;1.3054000;2.5520515;2.7000000;-2.2000000;0.0035232;6.8000000
1.3129000;1.3149000;1.9786878;2.5000000;-0.8000000;0.0041710;9.5000000
1.3134000;1.3187000;2.6015914;2.7000000;-4.1000000;0.0029636;3.5000000
1.3099000;1.3138000;2.4552612;2.7000000;-0.5000000;0.0022888;5.4000000
1.3241000;1.3258000;1.6604420;2.5000000;-0.5000000;0.0065389;15.2000000
1.3196000;1.3236000;2.4345420;2.7000000;-0.4000000;0.0021836;5.2000000
1.3222000;1.3238000;2.7233162;2.8000000;-2.7000000;0.0020579;2.6000000
1.3181000;1.3210000;2.5670572;2.7000000;-1.7000000;0.0020871;3.8000000
1.3126000;1.3140000;2.7036725;2.8000000;-0.8000000;0.0013831;2.8000000
1.3173000;1.3185000;2.4187976;2.7000000;-0.6000000;0.0022413;5.0000000
1.3138000;1.3171000;2.4699318;2.7000000;-0.9000000;0.0021061;4.6000000
1.3148000;1.3158000;2.7572022;2.8000000;-0.3000000;0.0008379;1.9000000
1.3175000;1.3200000;2.5601892;2.6000000;-1.2000000;0.0035747;7.9000000
1.3204000;1.3221000;2.5429120;2.7000000;-1.0000000;0.0017625;3.6000000
1.3225000;1.3244000;2.5624001;2.7000000;-1.4000000;0.0019908;3.8000000
1.3315000;1.3410000;1.7572206;2.5000000;-1.0000000;0.0072489;18.3000000
1.3273000;1.3322000;2.4286512;2.7000000;-1.3000000;0.0025182;5.1000000
1.3347000;1.3373000;2.7121572;2.8000000;-0.7000000;0.0013017;2.6000000
1.3316000;1.3342000;2.7159820;2.8000000;-1.4000000;0.0015571;2.7000000
1.3321000;1.3353000;2.7036311;2.8000000;-0.8000000;0.0016161;3.3000000
1.3363000;1.3380000;2.7007455;2.8000000;-1.3000000;0.0014247;2.5000000
1.3422000;1.3440000;2.0198444;2.5000000;-1.2000000;0.0045376;10.1000000
1.3429000;1.3454000;2.3587590;2.5000000;-3.3000000;0.0045161;8.2000000
1.3561000;1.3434000;3.0031857;3.1000000;-1.9000000;0.0059621;0.3000000
1.3561000;1.3441000;2.8496313;2.9000000;-2.3000000;0.0060270;1.2000000
1.3561000;1.3477000;2.5267815;2.7000000;-0.4000000;0.0049166;4.3000000
1.3561000;1.3554000;2.0147290;2.5000000;-1.7000000;0.0046034;8.7000000
1.3561000;1.3576000;2.5352217;2.7000000;-1.0000000;0.0018528;3.9000000
1.3590000;1.3636000;2.0367384;2.5000000;-0.5000000;0.0035712;9.2000000
1.3608000;1.3665000;2.4330234;2.5000000;-3.7000000;0.0043373;8.1000000
1.3657000;1.3681000;2.4710185;2.7000000;-1.5000000;0.0031320;6.8000000
1.3650000;1.3678000;2.7112716;2.8000000;-5.5000000;0.0033385;3.4000000
1.3582000;1.3626000;2.5237305;2.7000000;-2.1000000;0.0024720;4.5000000
1.3604000;1.3627000;2.4658671;2.7000000;-3.8000000;0.0035261;5.4000000
1.3604000;1.3615000;2.8482597;2.9000000;-0.9000000;0.0008086;1.3000000
1.3481000;1.3608000;1.6106053;2.5000000;-0.6000000;0.0058891;14.1000000
1.3532000;1.3609000;1.9694309;2.5000000;-1.1000000;0.0049303;12.2000000
1.3532000;1.3609000;2.4780019;2.7000000;-3.1000000;0.0033194;4.8000000
1.3458000;1.3526000;2.4193284;2.5000000;-1.0000000;0.0035094;8.1000000
1.3431000;1.3485000;2.5092401;2.7000000;-0.4000000;0.0030026;7.5000000
1.3437000;1.3463000;2.5209757;2.7000000;-2.7000000;0.0027157;4.5000000
1.3503000;1.3553000;2.4494366;2.7000000;-0.6000000;0.0024596;5.7000000
1.3303000;1.3504000;2.0068265;2.5000000;-1.1000000;0.0096731;23.1000000
1.3409000;1.3436000;2.0434221;2.5000000;-1.9000000;0.0047500;10.2000000
1.3393000;1.3437000;2.7206357;2.8000000;-2.8000000;0.0021421;2.6000000
1.3433000;1.3468000;2.4951227;2.7000000;-0.7000000;0.0029868;7.3000000
1.3536000;1.3546000;2.5726993;2.6000000;-5.1000000;0.0054530;8.1000000
1.3622000;1.3637000;2.0065605;2.5000000;-0.7000000;0.0042236;9.9000000
1.3644000;1.3659000;2.5280965;2.7000000;-2.0000000;0.0024152;4.3000000
